id,name,base_experience,height,weight,ability_1_name,ability_1_description,ability_1_is_hidden,ability_2_name,ability_2_description,ability_2_is_hidden,hp,attack,defense,special-attack,special-defense,speed,total,type_1,type_2,base_happiness,capture_rate,pre_evolution,evolution_1,evolution_2,evolution_3,gender_rate,generation,growth_rate,ability_3_name,ability_3_description,ability_3_is_hidden,url_sprite,url_cry,url_type_1_tag,url_type_2_tag
11,metapod,72,7,99,shed-skin,"After each turn, this Pokémon has a 33% of being cured of any major status ailment.",False,,,,50,20,55,25,25,30,205,bug,,50,120,caterpie,butterfree,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Metapod.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/011 - Metapod.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/bug.png,
12,butterfree,198,11,320,compound-eyes,"This Pokémon's moves have 1.3× their accuracy. This ability has no effect on the one-hit KO moves (fissure, guillotine, horn drill, and sheer cold). Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised from 50%, 5%, or 1% to 60%, 20%, or 5%, respectively.",False,tinted-lens,This Pokémon deals twice as much damage with moves that are not very effective against the target.,True,60,45,50,90,80,70,395,bug,flying,50,45,metapod,,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Butterfree.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/012 - Butterfree.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/bug.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/flying.png
13,weedle,39,3,32,shield-dust,"This Pokémon is immune to the extra effects of moves used against it. An extra effect is a move's chance, listed as an ""effect chance"", to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.",False,run-away,"This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.",True,40,35,30,20,20,50,195,bug,poison,70,255,,kakuna,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Weedle.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/013 - Weedle.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/bug.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png
14,kakuna,72,6,100,shed-skin,"After each turn, this Pokémon has a 33% of being cured of any major status ailment.",False,,,,45,25,50,25,25,35,205,bug,poison,70,120,weedle,beedrill,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Kakuna.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/014 - Kakuna.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/bug.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png
15,beedrill,178,10,295,swarm,"When this Pokémon has 1/3 or less of its HP remaining, its bug-type moves inflict 1.5× as much regular damage. Overworld: If the lead Pokémon has this ability, the wild encounter rate is increased.",False,sniper,"This Pokémon inflicts triple damage with critical hits, rather than the usual double damage.",True,65,90,40,45,80,75,395,bug,poison,70,45,kakuna,,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Beedrill.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/015 - Beedrill.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/bug.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png
16,pidgey,50,3,18,keen-eye,"This Pokémon cannot have its accuracy lowered. This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate. This Pokémon can still be passed negative accuracy modifiers through heart swap. Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",False,tangled-feet,"When this Pokémon is confused, it has twice its evasion.",False,40,45,40,35,35,56,251,normal,flying,70,255,,pidgeotto,,,0.5,generation-i,medium-slow,big-pecks,This Pokémon's Defense cannot be lowered by other Pokémon. This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Pidgey.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/016 - Pidgey.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/flying.png
17,pidgeotto,122,11,300,keen-eye,"This Pokémon cannot have its accuracy lowered. This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate. This Pokémon can still be passed negative accuracy modifiers through heart swap. Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",False,tangled-feet,"When this Pokémon is confused, it has twice its evasion.",False,63,60,55,50,50,71,349,normal,flying,70,120,pidgey,pidgeot,,,0.5,generation-i,medium-slow,big-pecks,This Pokémon's Defense cannot be lowered by other Pokémon. This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Pidgeotto.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/017 - Pidgeotto.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/flying.png
18,pidgeot,216,15,395,keen-eye,"This Pokémon cannot have its accuracy lowered. This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate. This Pokémon can still be passed negative accuracy modifiers through heart swap. Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",False,tangled-feet,"When this Pokémon is confused, it has twice its evasion.",False,83,80,75,70,70,101,479,normal,flying,70,45,pidgeotto,,,,0.5,generation-i,medium-slow,big-pecks,This Pokémon's Defense cannot be lowered by other Pokémon. This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Pidgeot.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/018 - Pidgeot.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/flying.png
19,rattata,51,3,35,run-away,"This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.",False,guts,"Whenever this Pokémon is asleep, burned, paralyzed, or poisoned, it has 1.5× its Attack. This Pokémon is not affected by the usual Attack cut from a burn. This bonus does not count as a stat modifier.",False,30,56,35,25,35,72,253,normal,,70,255,,raticate,,,0.5,generation-i,medium,hustle,"This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy. Special moves are unaffected. Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage. Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Rattata.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/019 - Rattata.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,
20,raticate,145,7,185,run-away,"This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability.",False,guts,"Whenever this Pokémon is asleep, burned, paralyzed, or poisoned, it has 1.5× its Attack. This Pokémon is not affected by the usual Attack cut from a burn. This bonus does not count as a stat modifier.",False,55,81,60,50,70,97,413,normal,,70,127,rattata,,,,0.5,generation-i,medium,hustle,"This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy. Special moves are unaffected. Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage. Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Raticate.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/020 - Raticate.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,
21,spearow,52,3,20,keen-eye,"This Pokémon cannot have its accuracy lowered. This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate. This Pokémon can still be passed negative accuracy modifiers through heart swap. Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",False,sniper,"This Pokémon inflicts triple damage with critical hits, rather than the usual double damage.",True,40,60,30,31,31,70,262,normal,flying,70,255,,fearow,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Spearow.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/021 - Spearow.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/flying.png
22,fearow,155,12,380,keen-eye,"This Pokémon cannot have its accuracy lowered. This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate. This Pokémon can still be passed negative accuracy modifiers through heart swap. Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",False,sniper,"This Pokémon inflicts triple damage with critical hits, rather than the usual double damage.",True,65,90,65,61,61,100,442,normal,flying,70,90,spearow,,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Fearow.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/022 - Fearow.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/normal.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/flying.png
23,ekans,58,20,69,intimidate,"When this Pokémon enters battle, the opponent's Attack is lowered by one stage. In a double battle, both opponents are affected. This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle. This ability has no effect on an opponent that has a substitute. Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",False,shed-skin,"After each turn, this Pokémon has a 33% of being cured of any major status ailment.",False,35,60,44,40,54,55,288,poison,,70,255,,arbok,,,0.5,generation-i,medium,unnerve,Opposing Pokémon cannot eat held Berries while this Pokémon is in battle. Affected Pokémon can still use bug bite or pluck to eat a target's Berry.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Ekans.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/023 - Ekans.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png,
24,arbok,157,35,650,intimidate,"When this Pokémon enters battle, the opponent's Attack is lowered by one stage. In a double battle, both opponents are affected. This ability also takes effect when acquired during a battle, but will not take effect again if lost and reobtained without leaving battle. This ability has no effect on an opponent that has a substitute. Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped.",False,shed-skin,"After each turn, this Pokémon has a 33% of being cured of any major status ailment.",False,60,95,69,65,79,80,448,poison,,70,90,ekans,,,,0.5,generation-i,medium,unnerve,Opposing Pokémon cannot eat held Berries while this Pokémon is in battle. Affected Pokémon can still use bug bite or pluck to eat a target's Berry.,True,https://github.com/Nackha1/Hd-sprites/blob/master/Arbok.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/024 - Arbok.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png,
25,pikachu,112,4,60,static,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed. Pokémon that are immune to electric-type moves can still be paralyzed by this ability. Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable.",False,lightning-rod,"All other Pokémon's single-target electric-type moves are redirected to this Pokémon if it is an eligible target. Other Pokémon's Electric moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it. If the move's intended target also has this ability, the move is not redirected. When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon. follow me takes precedence over this ability. If the Pokémon is a ground-type and thus immune to Electric moves, its immunity prevents the Special Attack boost.",True,35,55,40,50,50,90,320,electric,,50,190,,raichu,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Pikachu.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/025 - Pikachu.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/electric.png,
26,raichu,243,8,300,static,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed. Pokémon that are immune to electric-type moves can still be paralyzed by this ability. Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable.",False,lightning-rod,"All other Pokémon's single-target electric-type moves are redirected to this Pokémon if it is an eligible target. Other Pokémon's Electric moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it. If the move's intended target also has this ability, the move is not redirected. When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon. follow me takes precedence over this ability. If the Pokémon is a ground-type and thus immune to Electric moves, its immunity prevents the Special Attack boost.",True,60,90,55,90,80,110,485,electric,,50,75,pikachu,,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Raichu.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/026 - Raichu.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/electric.png,
27,sandshrew,60,6,120,sand-veil,"During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type. The evasion bonus does not count as a stat modifier. Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",False,sand-rush,"This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type.",True,50,75,85,20,30,40,300,ground,,50,255,,sandslash,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Sandshrew.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/027 - Sandshrew.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/ground.png,
28,sandslash,158,10,295,sand-veil,"During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type. The evasion bonus does not count as a stat modifier. Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",False,sand-rush,"This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type.",True,75,100,110,45,55,65,450,ground,,50,90,sandshrew,,,,0.5,generation-i,medium,,,,https://github.com/Nackha1/Hd-sprites/blob/master/Sandslash.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/028 - Sandslash.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/ground.png,
29,nidoran-f,55,4,70,poison-point,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned.",False,rivalry,"This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender. If either Pokémon is genderless, damage is unaffected.",False,55,47,52,40,40,41,275,poison,,50,235,,nidorina,,,1.0,generation-i,medium-slow,hustle,"This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy. Special moves are unaffected. Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage. Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Nidoran_Female.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/029 - Nidoran♀.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png,
30,nidorina,128,8,200,poison-point,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned.",False,rivalry,"This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender. If either Pokémon is genderless, damage is unaffected.",False,70,62,67,55,55,56,365,poison,,50,120,nidoran-f,nidoqueen,,,1.0,generation-i,medium-slow,hustle,"This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy. Special moves are unaffected. Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage. Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Nidorina.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/030 - Nidorina.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png,
31,nidoqueen,253,13,600,poison-point,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned.",False,rivalry,"This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender. If either Pokémon is genderless, damage is unaffected.",False,90,92,87,75,85,76,505,poison,ground,50,45,nidorina,,,,1.0,generation-i,medium-slow,sheer-force,"This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects. An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate. Moves that lower the user's stats are unaffected.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Nidoqueen.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/031 - Nidoqueen.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/ground.png
32,nidoran-m,55,5,90,poison-point,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned.",False,rivalry,"This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender. If either Pokémon is genderless, damage is unaffected.",False,46,57,40,40,40,50,273,poison,,50,235,,nidorino,,,0.0,generation-i,medium-slow,hustle,"This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy. Special moves are unaffected. Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage. Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Nidoran_Male.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/032 - Nidoran♂.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png,
33,nidorino,128,9,195,poison-point,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned.",False,rivalry,"This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender. If either Pokémon is genderless, damage is unaffected.",False,61,72,57,55,55,65,365,poison,,50,120,nidoran-m,nidoking,,,0.0,generation-i,medium-slow,hustle,"This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy. Special moves are unaffected. Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage. Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased.",True,https://github.com/Nackha1/Hd-sprites/blob/master/Nidorino.gif?raw=true,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/pokemon_cries/033 - Nidorino.wav,https://raw.githubusercontent.com/mhirokitomida/pokedash/main/imagens/types_tag/poison.png,
